Date,Open,High,Low,Close,Adj Close,Volume
2016-03-03,1.580000,1.600000,1.580000,1.590000,1.415635,2663500
2016-03-04,1.590000,1.620000,1.590000,1.590000,1.415635,2334000
2016-03-07,1.600000,1.600000,1.580000,1.600000,1.424538,4896200
2016-03-08,1.600000,1.610000,1.590000,1.600000,1.424538,1673800
2016-03-09,1.590000,1.610000,1.590000,1.600000,1.424538,2847800
2016-03-10,1.600000,1.600000,1.590000,1.600000,1.424538,2287600
2016-03-11,1.600000,1.600000,1.580000,1.590000,1.415635,672800
2016-03-14,1.590000,1.610000,1.590000,1.590000,1.415635,504700
2016-03-15,1.590000,1.630000,1.580000,1.590000,1.415635,1910000
2016-03-16,1.600000,1.610000,1.590000,1.590000,1.415635,2270300
2016-03-17,1.590000,1.610000,1.580000,1.580000,1.406732,2657600
2016-03-18,1.580000,1.600000,1.560000,1.560000,1.388925,6873500
2016-03-21,1.550000,1.570000,1.530000,1.560000,1.388925,1224200
2016-03-22,1.560000,1.560000,1.510000,1.530000,1.362215,1480400
2016-03-23,1.530000,1.530000,1.510000,1.530000,1.362215,805600
2016-03-24,1.530000,1.560000,1.520000,1.550000,1.380022,796200
2016-03-25,1.550000,1.550000,1.530000,1.540000,1.371118,1507400
2016-03-28,1.550000,1.570000,1.540000,1.570000,1.397828,192200
2016-03-29,1.550000,1.610000,1.550000,1.600000,1.424538,2442600
2016-03-30,1.600000,1.610000,1.590000,1.600000,1.424538,1597300
2016-03-31,1.600000,1.600000,1.590000,1.600000,1.424538,2860400
2016-04-01,1.600000,1.610000,1.590000,1.620000,1.442345,2422600
2016-04-04,1.620000,1.620000,1.590000,1.620000,1.442345,2399400
2016-04-05,1.610000,1.650000,1.600000,1.650000,1.469055,1004600
2016-04-06,1.650000,1.650000,1.620000,1.630000,1.451249,54800
2016-04-07,1.630000,1.650000,1.620000,1.650000,1.469055,486400
2016-04-08,1.620000,1.650000,1.620000,1.650000,1.469055,135000
2016-04-11,1.630000,1.650000,1.610000,1.620000,1.442345,201200
2016-04-12,1.620000,1.630000,1.610000,1.610000,1.433442,570700
2016-04-13,1.610000,1.620000,1.600000,1.610000,1.433442,283100
2016-04-14,1.610000,1.620000,1.600000,1.600000,1.424538,1139200
2016-04-15,1.600000,1.600000,1.590000,1.590000,1.415635,1038200
2016-04-18,1.600000,1.610000,1.590000,1.590000,1.415635,1341700
2016-04-19,1.600000,1.620000,1.590000,1.620000,1.442345,980100
2016-04-20,1.620000,1.620000,1.590000,1.610000,1.433442,2749300
2016-04-21,1.600000,1.600000,1.590000,1.600000,1.424538,1668900
2016-04-22,1.590000,1.610000,1.580000,1.600000,1.424538,755400
2016-04-25,1.600000,1.600000,1.570000,1.600000,1.424538,3396000
2016-04-26,1.610000,1.610000,1.590000,1.600000,1.424538,2130300
2016-04-27,1.600000,1.610000,1.590000,1.600000,1.424538,1768500
2016-04-28,1.620000,1.630000,1.610000,1.620000,1.442345,1145600
2016-04-29,1.630000,1.630000,1.600000,1.620000,1.442345,1201700
2016-05-03,1.620000,1.620000,1.590000,1.600000,1.424538,3143100
2016-05-04,1.600000,1.610000,1.590000,1.600000,1.424538,2149700
2016-05-05,1.600000,1.610000,1.590000,1.590000,1.415635,4372500
2016-05-06,1.600000,1.610000,1.600000,1.600000,1.424538,2576000
2016-05-09,1.600000,1.610000,1.590000,1.600000,1.424538,1294300
2016-05-10,1.610000,1.650000,1.600000,1.640000,1.460152,2137400
2016-05-11,1.640000,1.670000,1.630000,1.660000,1.477959,2667000
2016-05-12,1.640000,1.650000,1.620000,1.650000,1.474028,2961400
2016-05-13,1.650000,1.650000,1.620000,1.640000,1.465095,835000
2016-05-16,1.640000,1.660000,1.640000,1.650000,1.474028,485300
2016-05-17,1.650000,1.660000,1.640000,1.640000,1.465095,1267000
2016-05-18,1.650000,1.650000,1.620000,1.620000,1.447228,549300
2016-05-19,1.620000,1.650000,1.610000,1.620000,1.447228,379400
2016-05-20,1.610000,1.640000,1.600000,1.640000,1.465095,182200
2016-05-23,1.630000,1.650000,1.620000,1.620000,1.447228,262400
2016-05-24,1.620000,1.630000,1.610000,1.630000,1.456161,855600
2016-05-25,1.640000,1.650000,1.620000,1.620000,1.447228,1105000
2016-05-26,1.640000,1.660000,1.630000,1.650000,1.474028,724100
2016-05-27,1.660000,1.670000,1.640000,1.650000,1.474028,2108300
2016-05-30,1.650000,1.650000,1.630000,1.630000,1.456161,1803100
2016-05-31,1.640000,1.650000,1.620000,1.620000,1.447228,1754100
2016-06-01,1.620000,1.640000,1.620000,1.630000,1.456161,208500
2016-06-02,1.630000,1.650000,1.620000,1.640000,1.465095,1774700
2016-06-03,1.650000,1.660000,1.640000,1.660000,1.482962,871400
2016-06-06,1.660000,1.670000,1.640000,1.650000,1.474028,1318500
2016-06-07,1.660000,1.680000,1.640000,1.680000,1.500829,235700
2016-06-08,1.680000,1.690000,1.650000,1.660000,1.482962,1137500
2016-06-09,1.660000,1.660000,1.640000,1.640000,1.465095,991700
2016-06-10,1.640000,1.660000,1.620000,1.630000,1.456161,1670000
2016-06-13,1.630000,1.640000,1.620000,1.630000,1.456161,1085000
2016-06-14,1.620000,1.630000,1.600000,1.610000,1.438294,1938300
2016-06-15,1.610000,1.630000,1.610000,1.630000,1.456161,1638200
2016-06-16,1.630000,1.630000,1.600000,1.610000,1.438294,996700
2016-06-17,1.600000,1.630000,1.600000,1.610000,1.438294,1144200
2016-06-20,1.620000,1.650000,1.620000,1.640000,1.465095,846000
2016-06-21,1.640000,1.640000,1.620000,1.630000,1.456161,884500
